,Unnamed: 0,Name,Team,Pos,Nationality,CTteam,Height,Weight,MinutesPlayedPG,ptsPG,rebPG,astPG,toPG,stlPG,blkPG,pfPG,TotalGames,TotalMinutesPlayed,2ptsPercentage,3ptsPercentage,ftPercentage,fgPercentage,2ptsM_PG,2ptsA_PG,3ptsM_PG,3ptsA_PG,ftM_PG,ftA_PG,fgM_PG,fgA_PG,Totalpts,TotalREB,TotalAst,TotalTO,TotalSTL,TotalBLK,TotalPF,EFF,eFG,TS,TOV,C,F,G
0,0,夏普,金門酒廠,F,0,0,204,111,32,19.7,13.1,2.9,2.6,1.5,2,2.5,44,1395,0.4885,0.3529,0.6977,0.4483,5.8,11.9,1.8,5,2.7,3.9,7.6,16.9,866,578,129,113,67,86,110,26.1,0.50295858,0.52911474,0.12254902,0,1,0
1,1,賽勒,金門酒廠,C,0,0,211,138,32,16.3,13.9,1.2,2.2,0.7,1.7,3.1,47,1494,0.7089,0,0.4532,0.7089,7.1,10.1,0,0,2,4.3,7.1,10.1,764,655,55,102,31,78,145,26.3,0.702970297,0.679619746,0.155016911,1,0,0
2,2,瓊斯,桃園璞園建築,C,0,0,195,82,29,17.7,9.6,1,2.1,1.4,1.4,1.7,56,1649,0.5158,0.2447,0.7546,0.4835,6.4,12.4,0.4,1.7,3.7,4.9,6.8,14.1,993,536,56,120,80,78,93,20.5,0.496453901,0.54441437,0.11440401,1,0,0
3,3,戴維斯,裕隆納智捷,F,0,0,206,105,35,22.7,13,3.1,4.1,2.4,1.5,3.2,85,2943,0.4703,0.1594,0.6292,0.4572,8.7,18.6,0.1,0.8,4.8,7.6,8.9,19.4,1928,1101,263,345,203,125,274,25.3,0.461340206,0.499032712,0.152734317,0,1,0
4,4,史貝斯,臺灣銀行,F,0,0,199,100,27,15.8,7.1,1.9,1.2,1.7,1.3,3.2,9,240,0.5195,0.4,0.7647,0.486,4.4,8.6,1.3,3.3,2.9,3.8,5.8,11.9,142,64,17,11,15,12,29,19.6,0.542016807,0.582080754,0.081234768,0,1,0
5,5,天使,金門酒廠,F,0,0,195,93,30,18.5,9.2,2.5,2.5,1.5,1.9,1.8,22,655,0.4599,0.3333,0.663,0.4153,5,10.8,2,5.9,2.8,4.2,6.9,16.6,408,203,55,56,34,42,40,20,0.475903614,0.501409367,0.119343135,0,1,0
6,6,強森,桃園璞園建築,F,0,0,195,90,30,22.3,9.4,4.1,2,1.3,0.4,1.5,21,624,0.5576,0.3707,0.7519,0.4925,5.8,10.3,2,5.5,4.6,6.1,7.8,15.9,468,198,86,42,27,9,31,25.9,0.553459119,0.599978476,0.097162845,0,1,0
7,7,佐藍,金門酒廠,F,0,0,197,95,27,17.2,6,2,1.9,0.5,0.3,1.9,21,559,0.6013,0.3738,0.8657,0.5077,4.4,7.3,1.9,5.1,2.8,3.2,6.3,12.4,362,125,41,40,10,6,39,17.6,0.584677419,0.622827346,0.120957474,0,1,0
8,8,道森,裕隆納智捷,C,0,0,202,105,30,17.4,15.8,2.3,1.9,1.4,1.4,1.9,14,426,0.5266,0,0.7419,0.5266,7.1,13.4,0,0,3.3,4.4,7.1,13.4,244,221,32,27,20,20,26,29,0.529850746,0.567292645,0.110234393,1,0,0
9,9,賈西亞,富邦勇士,C,0,0,208,104,32,21.4,12.8,2.5,2.6,0.8,1.2,2.7,53,1711,0.4889,0.2308,0.7135,0.4595,7.5,15.3,0.5,2,5.1,7.1,7.9,17.2,1133,677,132,139,41,64,142,24.8,0.473837209,0.526471167,0.113418252,1,0,0
10,10,伍茲,臺灣銀行,F,0,0,194,105,26,19.3,5.3,2,1.1,0.4,0,1.3,8,209,0.53,0.2326,0.6429,0.4406,6.6,12.5,1.3,5.4,2.3,3.5,7.9,17.9,154,42,16,9,3,0,10,14.7,0.477653631,0.496399177,0.053554041,0,1,0
11,11,羅德尼,臺灣銀行,F,0,0,197,102,26,14.3,5.7,1.1,0.9,1,0.1,2.6,7,179,0.434,0.4815,0.7143,0.45,3.3,7.6,1.9,3.9,2.1,3,5.1,11.4,100,40,8,6,7,1,18,14.1,0.530701754,0.562106918,0.066079295,0,1,0
12,12,凱爾,桃園璞園建築,F,0,0,204,102,29,14,9.3,3.1,1.7,1,1.2,2.5,28,798,0.5854,0.3984,0.7536,0.5052,3.4,5.9,1.8,4.4,1.9,2.5,5.2,10.3,391,260,87,47,28,34,69,21.2,0.59223301,0.614035088,0.129770992,0,1,0
13,13,泰勒,臺灣銀行,F,0,0,199,100,32,18.5,11.1,2.9,4.3,2.2,1.4,3.3,46,1482,0.5797,0.3014,0.6503,0.4699,5.5,9.4,1.8,6.1,2,3.1,7.3,15.5,850,509,135,196,100,65,152,22.5,0.529032258,0.548505693,0.203175203,0,1,0
14,14,米歇爾,富邦勇士,F,0,0,198,105,31,17.6,10.6,2.3,2.8,0.9,2.7,2.4,31,948,0.6975,0.3733,0.6053,0.6292,6.3,9.1,0.9,2.4,2.2,3.7,7.2,11.5,545,328,71,88,29,85,75,25.5,0.665217391,0.670322974,0.17579106,0,1,0
15,15,貝斯,金門酒廠,F,0,0,197,95,29,20.7,10.9,2.8,2.5,2.5,1.1,2.5,11,316,0.4698,0.2985,0.7,0.4167,6.4,13.5,1.8,6.1,2.5,3.6,8.2,19.6,228,120,31,28,27,12,27,23,0.464285714,0.488576284,0.105556494,0,1,0
16,16,陳昱瑞,臺灣銀行,G,1,0,185,75,25,9.2,3,1.7,1.1,1.3,0.1,2.4,36,897,0.4286,0.3207,0.7931,0.3645,1.5,3.5,1.6,5.1,1.3,1.6,3.1,8.6,331,107,61,41,45,3,87,8.4,0.453488372,0.494411006,0.105728566,0,0,1
17,17,李維哲,臺灣銀行,G,1,1,179,81,23,7.3,2.5,2.5,1.4,0.9,0.1,1.9,131,3041,0.4051,0.27,0.6707,0.3581,2,4.8,0.7,2.6,1.3,1.9,2.6,7.4,950,332,334,188,120,8,245,6.5,0.398648649,0.443176299,0.145288501,0,0,1
18,18,陳順詳,臺灣銀行,G,1,1,190,90,29,12.7,3.4,2.1,2.2,0.9,0.3,2.1,337,9688,0.4959,0.3527,0.7904,0.419,2.3,4.7,1.9,5.4,2.3,3,4.2,10.1,4289,1139,696,741,314,114,721,10.6,0.50990099,0.556042032,0.161527166,0,0,1
19,19,楊天佑,臺灣銀行,G,1,0,170,70,3,0.9,0.2,0.4,0.6,0.2,0,0.8,12,40,0.3333,0.2222,0.75,0.25,0.1,0.3,0.2,0.8,0.3,0.3,0.3,1,11,2,5,7,2,0,9,0.4,0.4,0.397526502,0.346420323,0,0,1
20,20,呂宗霖,臺灣銀行,G,1,0,178,75,12,2.1,1.3,1.9,0.9,0.5,0,1.4,48,577,0.4625,0.1333,0.6818,0.3727,0.8,1.7,0.1,0.6,0.3,0.5,0.9,2.3,101,64,90,42,23,0,69,3.3,0.413043478,0.416666667,0.263157895,0,0,1
21,21,高健益,臺灣銀行,G,1,0,185,80,13,3.6,1.4,1.3,1.4,0.6,0.1,1.3,116,1537,0.3288,0.2667,0.6429,0.2851,0.4,1.3,0.8,3,0.4,0.6,1.2,4.2,417,168,151,161,70,8,148,2.4,0.380952381,0.403225806,0.238744884,0,0,1
22,22,林任鴻,臺灣銀行,F,1,0,194,89,13,3.7,1.4,0.7,0.8,0.6,0.1,1.3,73,941,0.4095,0.2747,0.4651,0.3688,1.2,2.9,0.3,1.2,0.3,0.6,1.5,4.1,267,99,49,57,47,6,93,2.8,0.402439024,0.423923006,0.154918668,0,1,0
23,23,呂冠霆,臺灣銀行,C,1,0,197,90,13,4.3,1.9,0.4,0.2,0.4,0.2,0.7,19,242,0.4242,0.3696,0.2,0.3924,0.7,1.7,0.9,2.4,0.1,0.5,1.6,4.2,81,36,8,4,8,4,13,4,0.488095238,0.486425339,0.043290043,1,0,0
24,24,范士恩,臺灣銀行,F,1,0,198,82,13,2.6,3.3,0.4,0.6,0.6,0.3,1.7,69,918,0.3977,0.2,0.5645,0.3871,1,2.6,0,0.1,0.5,0.9,1,2.7,181,225,25,38,42,18,117,4.5,0.37037037,0.419896641,0.162337662,0,1,0
25,25,陳侑昫,臺灣銀行,F,1,0,195,90,11,3.5,1.8,0.6,0.5,0.1,0.1,1.1,80,844,0.4682,0.321,0.7069,0.4213,1,2.2,0.3,1,0.5,0.7,1.3,3.2,281,141,46,38,10,9,87,3.5,0.453125,0.498859749,0.124750499,0,1,0
26,26,謝宗融,臺灣銀行,C,1,1,200,97,15,4.7,3.5,0.4,0.4,0.5,0.4,2.3,46,689,0.4579,0.2857,0.6757,0.4408,1.9,4.1,0.1,0.5,0.5,0.8,2,4.6,217,161,18,17,24,20,105,6.2,0.445652174,0.474555735,0.074738416,1,0,0
27,27,吳祐任,臺灣銀行,G,1,0,175,77,9,1.9,0.9,0.4,0.5,0.3,0,1,57,533,0.36,0.2063,0.6154,0.2899,0.5,1.3,0.2,1.1,0.3,0.5,0.7,2.4,109,52,25,30,17,0,59,1.1,0.333333333,0.36259542,0.16025641,0,0,1
28,28,黃家明,臺灣銀行,F,1,0,192,94,13,3.8,1.7,0.3,0.3,0.3,0.3,0.8,99,1242,0.3722,0.2792,0.5897,0.3286,0.8,2.3,0.6,2,0.5,0.8,1.4,4.2,377,166,31,34,30,31,76,3,0.404761905,0.417398946,0.061830173,0,1,0
29,29,張博勝,臺灣銀行,G,1,1,183,85,20,8.7,2.6,1.5,1.8,0.7,0.1,2.2,315,6434,0.4433,0.3223,0.7113,0.3897,1.9,4.3,1.1,3.5,1.5,2.1,3,7.8,2738,825,479,581,217,20,699,6.4,0.455128205,0.498624484,0.171037628,0,0,1
30,30,龍弘元,臺灣銀行,C,1,0,192,110,11,3.6,2.3,0.5,0.7,0.4,0.1,1.2,129,1462,0.44,0.1481,0.5955,0.4235,1.5,3.5,0,0.2,0.4,0.7,1.6,3.7,461,300,62,84,55,9,159,3.8,0.432432432,0.449101796,0.148683093,1,0,0
31,31,史密斯,臺灣銀行,C,0,0,204,115,31,14.3,13.5,3.7,2,1.7,1.2,2.1,15,462,0.4645,0.0667,0.6029,0.4343,5.7,12.2,0.1,1,2.7,4.5,5.7,13.2,214,203,56,30,25,18,32,23.1,0.435606061,0.471014493,0.116414435,1,0,0
32,32,潘向挺,台灣啤酒,G,1,0,185,72,15,2.3,3.1,2.6,1.9,2.1,0.3,1.1,7,108,0.4545,0.2857,0,0.3889,0.7,1.6,0.3,1,0,0,1,2.6,16,22,18,13,15,2,8,6.9,0.442307692,0.442307692,0.422222222,0,0,1
33,33,王子綱,台灣啤酒,G,1,0,183,73,12,4.1,1.2,0.8,0.6,0.4,0,0.8,78,925,0.3923,0.3459,0.6444,0.3651,0.7,1.7,0.8,2.4,0.4,0.6,1.5,4,323,95,62,47,33,1,63,3.2,0.475,0.480769231,0.123355263,0,0,1
34,34,李愷諺,台灣啤酒,G,1,1,182,80,16,5.5,2.3,1.6,1.3,0.8,0.1,1.6,70,1135,0.3865,0.2986,0.7122,0.3504,1.1,3,0.6,2.1,1.4,2,1.8,5,388,159,115,93,55,4,114,5.2,0.42,0.467687075,0.181058496,0,0,1
35,35,簡祐哲,台灣啤酒,G,1,0,180,75,10,3.9,1.3,0.5,0.3,0.6,0,0.8,16,163,0.4074,0.4545,0.6875,0.4286,0.7,1.7,0.6,1.4,0.7,1,1.3,3.1,63,21,8,4,9,0,13,3.9,0.516129032,0.550847458,0.078125,0,0,1
36,36,王政富,台灣啤酒,G,1,0,185,78,2,0,0,0.1,0,0,0,0.6,8,16,0,0,0,0,0,0.3,0,0.5,0,0,0,0.8,0,0,1,0,0,0,5,-0.7,0,0,0,0,0,1
37,37,朱億宗,台灣啤酒,F,1,0,186,85,18,6.4,3.4,0.9,1,0.8,0.2,1.8,196,3550,0.5129,0.2798,0.7151,0.4446,2.1,4.1,0.5,1.7,0.7,0.9,2.6,5.9,1247,658,168,200,160,37,346,7.2,0.483050847,0.508259212,0.137061404,0,1,0
38,38,黃聰翰,台灣啤酒,F,1,1,193,85,21,8.2,2.1,0.7,1,1,0.2,1.1,66,1393,0.3952,0.3368,0.7403,0.3638,1.5,3.8,1.5,4.4,0.9,1.2,3,8.1,544,137,47,67,68,11,75,5.8,0.462962963,0.475197033,0.103863731,0,1,0
